2026-05-07 15:34:46,200 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:34:46,202 | WARNING | aiogram.dispatcher | Sleep for 4.853160 seconds and try again... (tryings = 16, bot id = 8547453594)
2026-05-07 15:35:12,631 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:35:12,924 | WARNING | aiogram.dispatcher | Sleep for 5.194395 seconds and try again... (tryings = 17, bot id = 8547453594)
2026-05-07 15:35:39,671 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:35:39,678 | WARNING | aiogram.dispatcher | Sleep for 4.884553 seconds and try again... (tryings = 18, bot id = 8547453594)
2026-05-07 15:36:05,622 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:36:05,625 | WARNING | aiogram.dispatcher | Sleep for 5.002613 seconds and try again... (tryings = 19, bot id = 8547453594)
2026-05-07 15:36:31,669 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:36:31,804 | WARNING | aiogram.dispatcher | Sleep for 4.960622 seconds and try again... (tryings = 20, bot id = 8547453594)
2026-05-07 15:36:57,823 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:36:57,824 | WARNING | aiogram.dispatcher | Sleep for 5.033702 seconds and try again... (tryings = 21, bot id = 8547453594)
2026-05-07 15:37:23,909 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:37:23,912 | WARNING | aiogram.dispatcher | Sleep for 4.861618 seconds and try again... (tryings = 22, bot id = 8547453594)
2026-05-07 15:37:49,842 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:37:49,846 | WARNING | aiogram.dispatcher | Sleep for 5.067563 seconds and try again... (tryings = 23, bot id = 8547453594)
2026-05-07 15:38:16,163 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:38:16,181 | WARNING | aiogram.dispatcher | Sleep for 4.910255 seconds and try again... (tryings = 24, bot id = 8547453594)
2026-05-07 15:38:42,306 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:38:42,333 | WARNING | aiogram.dispatcher | Sleep for 4.899507 seconds and try again... (tryings = 25, bot id = 8547453594)
2026-05-07 15:39:08,920 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:39:08,922 | WARNING | aiogram.dispatcher | Sleep for 4.988212 seconds and try again... (tryings = 26, bot id = 8547453594)
2026-05-07 15:39:34,952 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:39:34,953 | WARNING | aiogram.dispatcher | Sleep for 5.275420 seconds and try again... (tryings = 27, bot id = 8547453594)
2026-05-07 15:40:01,279 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:40:01,282 | WARNING | aiogram.dispatcher | Sleep for 5.078636 seconds and try again... (tryings = 28, bot id = 8547453594)
2026-05-07 15:40:27,530 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:40:27,532 | WARNING | aiogram.dispatcher | Sleep for 4.923669 seconds and try again... (tryings = 29, bot id = 8547453594)
2026-05-07 15:40:53,529 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:40:53,530 | WARNING | aiogram.dispatcher | Sleep for 4.850232 seconds and try again... (tryings = 30, bot id = 8547453594)
2026-05-07 15:41:19,443 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:41:19,445 | WARNING | aiogram.dispatcher | Sleep for 4.942034 seconds and try again... (tryings = 31, bot id = 8547453594)
2026-05-07 15:41:45,933 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:41:45,938 | WARNING | aiogram.dispatcher | Sleep for 5.009492 seconds and try again... (tryings = 32, bot id = 8547453594)
2026-05-07 15:42:12,513 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:42:12,686 | WARNING | aiogram.dispatcher | Sleep for 4.845986 seconds and try again... (tryings = 33, bot id = 8547453594)
2026-05-07 15:42:38,784 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:42:39,771 | WARNING | aiogram.dispatcher | Sleep for 5.026388 seconds and try again... (tryings = 34, bot id = 8547453594)
2026-05-07 15:43:07,237 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:43:07,239 | WARNING | aiogram.dispatcher | Sleep for 5.058330 seconds and try again... (tryings = 35, bot id = 8547453594)
2026-05-07 15:43:33,613 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:43:33,614 | WARNING | aiogram.dispatcher | Sleep for 5.020747 seconds and try again... (tryings = 36, bot id = 8547453594)
2026-05-07 15:43:59,835 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:43:59,837 | WARNING | aiogram.dispatcher | Sleep for 5.018577 seconds and try again... (tryings = 37, bot id = 8547453594)
2026-05-07 15:44:26,069 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:44:26,071 | WARNING | aiogram.dispatcher | Sleep for 5.201807 seconds and try again... (tryings = 38, bot id = 8547453594)
2026-05-07 15:44:52,335 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:44:52,335 | WARNING | aiogram.dispatcher | Sleep for 5.096990 seconds and try again... (tryings = 39, bot id = 8547453594)
2026-05-07 15:45:18,875 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:45:18,908 | WARNING | aiogram.dispatcher | Sleep for 4.961131 seconds and try again... (tryings = 40, bot id = 8547453594)
